Wavelength [nm],Intensity
370.478,10165.5972217818
370.816,10710.5100107839
371.154,9566.74560765425
371.492,6905.00150363776
371.830,4571.55539746831
372.169,3391.8601616919
372.507,3551.05939369276
372.845,4605.63255726298
373.183,6326.66789274414
373.521,9196.47617893418
373.859,13233.7666585768
374.197,18619.6415790816
374.535,25467.3368148804
374.873,32291.2285529524
375.211,35589.9937078754
375.549,32571.0500943164
375.887,23400.9110078166
376.225,13386.2345675081
376.563,6355.92228508989
376.901,3882.68894367417
377.239,4204.49845594168
377.577,5492.33230394125
377.915,7527.06964162986
378.253,10655.1114658912
378.590,15729.4801347057
378.928,23041.0543276866
379.266,32538.2733844916
379.604,43109.1816625992
379.942,51678.9986930688
380.280,53719.1648450693
380.618,45895.589148442
380.955,30125.6192211906
381.293,14736.9991673827
381.631,5272.8988978068
381.969,2179.67908926805
382.307,1467.26380765438
382.644,1082.59714098771
382.982,1110.87108055751
383.320,925.023225545883
383.658,945.949547290802
383.995,907.678614894549
384.333,1121.20393963655
384.671,1064.37713555495
385.008,1218.54629478852
385.346,1167.00818908215
385.684,1270.53426567713
386.021,1147.67663705349
386.359,1021.54506868124
386.697,1034.91373755534
387.034,1154.69693613052
387.372,1455.05808671316
387.709,1698.7375343442
388.047,2147.55484241247
388.385,2670.7874319454
388.722,3306.71347618103
389.060,3582.55982754628
389.397,3910.16409321626
389.735,4015.87915386756
390.072,4149.62353544434
390.410,4206.88920506338
390.747,4786.42956614991
391.085,5337.8155268232
391.422,5491.14331985513
391.760,4654.92351116737
392.097,3868.29969821374
392.435,3441.05808671316
392.772,3860.72700887918
393.110,4731.35458097855
393.447,6118.68668823441
393.784,7123.78545405219
394.122,7237.27516573668
394.459,5720.70999460419
394.797,3839.48943412304
395.134,2026.3966828386
395.471,1088.65182697773
395.809,670.227049306035
396.146,931.227049306035
396.483,1442.64957153797
396.821,1854.76610344648
397.158,2491.40420101086
397.495,3462.94278091192
397.832,5123.06833469868
398.170,7026.21897598108
398.507,9331.02350308498
398.844,12334.8490811189
399.181,15393.6618781885
399.519,16628.0455834071
399.856,14629.5864187479
400.193,10045.4816383521
400.530,5393.14454593261
400.867,2368.97538669904
401.205,1101.6593452096
401.542,905.985160311063
401.879,1150.65032333136
402.216,1109.6758852005
402.553,1415.9550875624
402.890,1652.68415516615
403.227,2479.65633791685
403.565,3602.07791162531
403.902,4924.34207758308
404.239,6997.4187631309
404.576,9258.76412557562
404.913,12218.8731393417
405.250,15085.3718727628
405.587,16353.9044381976
405.924,14889.2550633152
406.261,10333.3921718995
406.598,5628.84729987383
406.935,2288.64102397362
407.272,1106.64957153797
407.609,652.094451616208
407.946,489.95809485515
408.283,437.13326861461
408.620,622.386157373587
408.956,706.527776896954
409.293,596.029795209567
409.630,479.302231192589
409.967,397.593462695678
410.304,381.90048233668
410.641,287.855095644792
410.978,284.843540787697
411.315,372.748059809208
411.651,454.275639990966
411.988,554.052072187265
412.325,588.857825338841
412.662,861.209202369054
412.999,937.028013964494
413.335,1203.81900834044
413.672,1310.91448934873
414.009,1391.02500673135
414.346,1104.91373755534
