COOPID, YEAR, MONTH, DAY, meanTemp
80211,2012,3,25,70.00000
80211,2012,3,26,69.00000
80211,2012,3,27,69.00000
80211,2012,3,28,69.50000
80211,2012,3,29,68.00000
80211,2012,3,30,-99.90000
80211,2012,3,31,72.50000
80211,2012,4,1,73.00000
80211,2012,4,2,75.00000
80211,2012,4,3,-99.90000
80211,2012,4,4,75.00000
80211,2012,4,5,70.00000
80211,2012,4,6,69.50000
80211,2012,4,7,66.50000
80211,2012,4,8,66.50000
80211,2012,4,9,-99.90000
80211,2012,4,10,71.50000
80211,2012,4,11,-99.90000
80211,2012,4,12,-99.90000
80211,2012,4,13,-99.90000
80211,2012,4,14,-99.90000
80211,2012,4,15,-99.90000
80211,2012,4,16,-99.90000
80211,2012,4,17,-99.90000
80211,2012,4,18,-99.90000
80211,2012,4,19,-99.90000
80211,2012,4,20,-99.90000
80211,2012,4,21,-99.90000
80211,2012,4,22,-99.90000
80211,2012,4,23,-99.90000
80211,2012,4,24,-99.90000
80211,2012,4,25,-99.90000
80211,2012,4,26,-99.90000
80211,2012,4,27,-99.90000
80211,2012,4,28,-99.90000
80211,2012,4,29,-99.90000
80211,2012,4,30,-99.90000
80211,2012,5,1,76.00000
80211,2012,5,2,75.50000
80211,2012,5,3,75.00000
80211,2012,5,4,76.00000
80211,2012,5,5,73.00000
80211,2012,5,6,72.50000
80211,2012,5,7,74.00000
80211,2012,5,8,74.50000
80211,2012,5,9,76.00000
80211,2012,5,10,72.50000
80211,2012,5,11,69.00000
80211,2012,5,12,74.50000
80211,2012,5,13,76.50000
80211,2012,5,14,78.00000
80211,2012,5,15,76.50000
80211,2012,5,16,74.00000
80211,2012,5,17,75.00000
80211,2012,5,18,77.50000
80211,2012,5,19,75.00000
80211,2012,5,20,73.50000
80211,2012,5,21,-99.90000
80211,2012,5,22,75.00000
80211,2012,5,23,78.00000
80211,2012,5,24,77.50000
80211,2012,5,25,78.50000
80211,2012,5,26,81.50000
80211,2012,5,27,84.00000
80211,2012,5,28,81.00000
80211,2012,5,29,82.00000
80211,2012,5,30,80.50000
80211,2012,5,31,83.00000
80211,2012,6,1,-99.90000
80211,2012,6,2,78.00000
80211,2012,6,3,78.00000
80211,2012,6,4,77.00000
80211,2012,6,5,81.50000
80211,2012,6,6,81.50000
80211,2012,6,7,81.50000
80211,2012,6,8,79.00000
80211,2012,6,9,78.00000
80211,2012,6,10,-99.90000
80211,2012,6,11,-99.90000
80211,2012,6,12,82.50000
80211,2012,6,13,78.50000
80211,2012,6,14,82.50000
80211,2012,6,15,80.00000
80211,2012,6,16,74.50000
80211,2012,6,17,76.00000
80211,2012,6,18,77.50000
80211,2012,6,19,78.00000
80211,2012,6,20,78.00000
80211,2012,6,21,80.00000
80211,2012,6,22,-99.90000
80211,2012,6,23,-99.90000
80211,2012,6,24,-99.90000
80211,2012,6,25,-99.90000
80211,2012,6,26,-99.90000
80211,2012,6,27,-99.90000
80211,2012,6,28,78.00000
80211,2012,6,29,-99.90000
80211,2012,6,30,-99.90000
80211,2012,7,1,-99.90000
80211,2012,7,2,78.50000
80211,2012,7,3,83.00000
80211,2012,7,4,81.50000
80211,2012,7,5,-99.90000
80211,2012,7,6,81.50000
80211,2012,7,7,81.50000
80211,2012,7,8,81.50000
80211,2012,7,9,82.00000
80211,2012,7,10,82.00000
80211,2012,7,11,80.50000
80211,2012,7,12,79.50000
80211,2012,7,13,81.00000
80211,2012,7,14,81.00000
80211,2012,7,15,82.00000
80211,2012,7,16,81.50000
80211,2012,7,17,82.50000
80211,2012,7,18,80.50000
80211,2012,7,19,80.50000
80211,2012,7,20,78.50000
80211,2012,7,21,78.00000
80211,2012,7,22,81.00000
80211,2012,7,23,-99.90000
80211,2012,7,24,-99.90000
80211,2012,7,25,81.50000
80211,2012,7,26,-99.90000
80211,2012,7,27,-99.90000
80211,2012,7,28,81.50000
80211,2012,7,29,81.50000
80211,2012,7,30,81.50000
80211,2012,7,31,80.50000
80211,2012,8,1,84.00000
80211,2012,8,2,82.00000
80211,2012,8,3,82.00000
80211,2012,8,4,82.50000
80211,2012,8,5,81.50000
80211,2012,8,6,81.00000
80211,2012,8,7,83.00000
80211,2012,8,8,83.50000
80211,2012,8,9,81.00000
80211,2012,8,10,81.00000
80211,2012,8,11,79.00000
80211,2012,8,12,83.00000
80211,2012,8,13,80.50000
80211,2012,8,14,80.00000
80211,2012,8,15,84.00000
80211,2012,8,16,83.50000
80211,2012,8,17,82.00000
80211,2012,8,18,82.00000
80211,2012,8,19,81.50000
80211,2012,8,20,78.00000
80211,2012,8,21,75.50000
80211,2012,8,22,79.00000
80211,2012,8,23,79.50000
80211,2012,8,24,78.50000
80211,2012,8,25,80.00000
80211,2012,8,26,82.00000
80211,2012,8,27,79.00000
80211,2012,8,28,84.00000
80211,2012,8,29,84.50000
80211,2012,8,30,84.00000
80211,2012,8,31,82.50000
80211,2012,9,1,81.50000
80211,2012,9,2,80.50000
80211,2012,9,3,81.50000
80211,2012,9,4,80.00000
80211,2012,9,5,78.00000
80211,2012,9,6,83.00000
80211,2012,9,7,81.50000
80211,2012,9,8,80.50000
80211,2012,9,9,76.50000
80211,2012,9,10,75.00000
80211,2012,9,11,78.00000
80211,2012,9,12,80.00000
80211,2012,9,13,79.00000
80211,2012,9,14,78.50000
80211,2012,9,15,79.00000
80211,2012,9,16,79.00000
80211,2012,9,17,80.00000
80211,2012,9,18,78.50000
80211,2012,9,19,77.00000
80211,2012,9,20,77.50000
80211,2012,9,21,76.50000
80211,2012,9,22,78.00000
80211,2012,9,23,78.50000
80211,2012,9,24,75.50000
80211,2012,9,25,72.00000
80211,2012,9,26,77.00000
80211,2012,9,27,77.00000
80211,2012,9,28,78.50000
80211,2012,9,29,78.50000
80211,2012,9,30,79.00000
80211,2012,10,1,81.00000
80211,2012,10,2,76.00000
80211,2012,10,3,74.00000
80211,2012,10,4,77.50000
80211,2012,10,5,78.50000
80211,2012,10,6,80.00000
80211,2012,10,7,79.50000
80211,2012,10,8,75.50000
80211,2012,10,9,72.00000
80211,2012,10,10,73.00000
80211,2012,10,11,72.00000
80211,2012,10,12,70.00000
80211,2012,10,13,74.00000
80211,2012,10,14,74.50000
80211,2012,10,15,75.50000
80211,2012,10,16,68.00000
80211,2012,10,17,68.50000
80211,2012,10,18,72.00000
80211,2012,10,19,74.00000
80211,2012,10,20,66.50000
80211,2012,10,21,66.00000
80211,2012,10,22,68.50000
80211,2012,10,23,70.00000
80211,2012,10,24,72.50000
80211,2012,10,25,74.00000
80211,2012,10,26,77.00000
80211,2012,10,27,69.50000
80211,2012,10,28,57.50000
80211,2012,10,29,55.50000
80211,2012,10,30,54.50000
80211,2012,10,31,61.00000
80211,2012,11,1,64.50000
80211,2012,11,2,62.00000
80211,2012,11,3,72.00000
80211,2012,11,4,70.00000
80211,2012,11,5,64.00000
80211,2012,11,6,61.00000
80211,2012,11,7,57.00000
80211,2012,11,8,54.00000
80211,2012,11,9,53.00000
80211,2012,11,10,56.00000
80211,2012,11,11,61.50000
80211,2012,11,12,67.00000
80211,2012,11,13,65.00000
80211,2012,11,14,59.50000
80211,2012,11,15,58.50000
80211,2012,11,16,54.00000
80211,2012,11,17,56.50000
80211,2012,11,18,59.00000
80211,2012,11,19,61.50000
80211,2012,11,20,62.00000
80211,2012,11,21,63.00000
80211,2012,11,22,56.00000
80211,2012,11,23,58.50000
80211,2012,11,24,56.50000
80211,2012,11,25,47.00000
80211,2012,11,26,51.00000
80211,2012,11,27,58.50000
80211,2012,11,28,57.00000
80211,2012,11,29,58.50000
80211,2012,11,30,62.00000
80211,2012,12,1,61.50000
80211,2012,12,2,64.50000
80211,2012,12,3,63.00000
80211,2012,12,4,63.50000
80211,2012,12,5,63.50000
80211,2012,12,6,63.50000
80211,2012,12,7,60.00000
80211,2012,12,8,61.50000
80211,2012,12,9,68.50000
80211,2012,12,10,67.50000
80211,2012,12,11,62.50000
80211,2012,12,12,52.00000
80211,2012,12,13,50.50000
80211,2012,12,14,46.00000
80211,2012,12,15,51.50000
80211,2012,12,16,63.00000
80211,2012,12,17,70.00000
80211,2012,12,18,60.00000
80211,2012,12,19,55.50000
80211,2012,12,20,63.00000
80211,2012,12,21,48.50000
80211,2012,12,22,47.50000
80211,2012,12,23,46.00000
80211,2012,12,24,59.00000
80211,2012,12,25,64.50000
80211,2012,12,26,55.50000
80211,2012,12,27,44.00000
80211,2012,12,28,48.50000
80211,2012,12,29,53.50000
80211,2012,12,30,44.00000
80211,2012,12,31,50.50000
80211,2013,1,1,66.00000
80211,2013,1,2,64.50000
80211,2013,1,3,54.50000
80211,2013,1,4,49.00000
80211,2013,1,5,53.50000
80211,2013,1,6,52.50000
80211,2013,1,7,54.00000
80211,2013,1,8,62.50000
80211,2013,1,9,68.00000
80211,2013,1,10,67.00000
80211,2013,1,11,68.00000
80211,2013,1,12,65.50000
80211,2013,1,13,66.50000
80211,2013,1,14,69.50000
80211,2013,1,15,70.00000
80211,2013,1,16,71.00000
80211,2013,1,17,56.00000
80211,2013,1,18,49.00000
80211,2013,1,19,56.50000
80211,2013,1,20,60.00000
80211,2013,1,21,54.50000
80211,2013,1,22,51.00000
80211,2013,1,23,49.00000
80211,2013,1,24,57.50000
80211,2013,1,25,58.00000
80211,2013,1,26,63.50000
80211,2013,1,27,62.50000
80211,2013,1,28,66.00000
80211,2013,1,29,70.00000
80211,2013,1,30,68.00000
80211,2013,1,31,48.50000
80211,2013,2,1,49.50000
80211,2013,2,2,47.00000
80211,2013,2,3,53.00000
80211,2013,2,4,53.50000
80211,2013,2,5,61.00000
80211,2013,2,6,63.00000
80211,2013,2,7,65.50000
80211,2013,2,8,64.00000
80211,2013,2,9,57.00000
80211,2013,2,10,61.50000
80211,2013,2,11,69.00000
80211,2013,2,12,72.00000
80211,2013,2,13,62.00000
80211,2013,2,14,47.00000
80211,2013,2,15,49.00000
80211,2013,2,16,48.50000
80211,2013,2,17,39.50000
80211,2013,2,18,45.00000
80211,2013,2,19,62.50000
80211,2013,2,20,52.00000
80211,2013,2,21,53.50000
80211,2013,2,22,67.00000
80211,2013,2,23,68.50000
80211,2013,2,24,64.00000
80211,2013,2,25,64.00000
80211,2013,2,26,63.50000
80211,2013,2,27,57.00000
80211,2013,2,28,56.00000
80211,2013,2,29,-99.90000
80211,2013,3,1,48.50000
80211,2013,3,2,46.00000
80211,2013,3,3,44.00000
80211,2013,3,4,46.00000
80211,2013,3,5,64.50000
80211,2013,3,6,54.00000
80211,2013,3,7,50.50000
80211,2013,3,8,54.00000
80211,2013,3,9,56.00000
80211,2013,3,10,60.50000
80211,2013,3,11,65.50000
80211,2013,3,12,56.50000
80211,2013,3,13,56.50000
80211,2013,3,14,53.00000
80211,2013,3,15,52.50000
80211,2013,3,16,61.50000
80211,2013,3,17,65.50000
80211,2013,3,18,68.00000
80211,2013,3,19,68.50000
80211,2013,3,20,62.00000
80211,2013,3,21,56.50000
80211,2013,3,22,56.00000
80211,2013,3,23,65.50000
80211,2013,3,24,69.50000
80211,2013,3,25,54.00000
80211,2013,3,26,47.50000
80211,2013,3,27,50.00000
80211,2013,3,28,51.50000
80211,2013,3,29,56.00000
80211,2013,3,30,58.50000
80211,2013,3,31,68.50000
80211,2013,4,1,70.00000
80211,2013,4,2,66.00000
80211,2013,4,3,62.50000
80211,2013,4,4,71.00000
80211,2013,4,5,58.00000
80211,2013,4,6,57.00000
80211,2013,4,7,65.50000
80211,2013,4,8,65.00000
80211,2013,4,9,68.50000
80211,2013,4,10,69.50000
80211,2013,4,11,73.50000
80211,2013,4,12,73.00000
80211,2013,4,13,66.50000
80211,2013,4,14,67.50000
80211,2013,4,15,68.50000
80211,2013,4,16,73.50000
80211,2013,4,17,74.00000
80211,2013,4,18,74.50000
80211,2013,4,19,66.00000
80211,2013,4,20,61.50000
80211,2013,4,21,61.50000
80211,2013,4,22,67.00000
80211,2013,4,23,67.50000
80211,2013,4,24,68.00000
80211,2013,4,25,71.00000
80211,2013,4,26,69.50000
80211,2013,4,27,69.50000
80211,2013,4,28,71.00000
80211,2013,4,29,72.50000
80211,2013,4,30,73.00000
80211,2013,5,1,72.50000
80211,2013,5,2,73.50000
80211,2013,5,3,69.50000
80211,2013,5,4,63.50000
80211,2013,5,5,61.50000
80211,2013,5,6,60.00000
80211,2013,5,7,68.00000
80211,2013,5,8,68.50000
80211,2013,5,9,70.00000
80211,2013,5,10,69.50000
80211,2013,5,11,72.00000
80211,2013,5,12,72.00000
80211,2013,5,13,67.50000
80211,2013,5,14,64.50000
80211,2013,5,15,-99.90000
80211,2013,5,16,-99.90000
80211,2013,5,17,-99.90000
80211,2013,5,18,-99.90000
80211,2013,5,19,-99.90000
