Wavelength [nm],Intensity (a.u)
371.492,2778.66811202389
371.830,1861.2263768961
372.169,1422.19891511401
372.507,1542.05709161237
372.845,2185.28762608767
373.183,2954.3215919733
373.521,4214.80397560696
373.859,5421.42944959303
374.197,7013.96296490232
374.535,8994.65709336599
374.873,10940.8863609682
375.211,11732.6476985415
375.549,10612.701899459
375.887,7616.90153723459
376.225,4626.55880907675
376.563,2378.57904407879
376.901,1823.67516033848
377.239,2189.14580262701
377.577,3156.98609061042
377.915,4033.38735577464
378.253,5255.08130570253
378.590,6867.78193831444
378.928,9395.6930488348
379.266,12229.5832016468
379.604,15367.4950348735
379.942,17858.3062372605
380.280,17972.1326159438
380.618,14895.5533933441
380.955,9221.91563379765
381.293,4309.62710658709
381.631,1519.18447029591
381.969,627.293594837189
382.307,444.881489555041
382.644,318.214822888374
382.982,444.157731175423
383.320,330.6502323548
383.658,366.579409817855
383.995,361.306058724721
384.333,558.503528515498
384.671,448.016264637311
385.008,556.178867359956
385.346,477.635778705279
385.684,572.167304476102
386.021,469.983744104703
386.359,388.19060866038
386.697,371.557907938957
387.034,383.669923067093
387.372,551.696662187576
387.709,678.042281051477
388.047,892.533336877823
388.385,1060.76983123024
388.722,1339.68582206965
389.060,1293.8585422039
389.397,1345.46522657077
389.735,1175.85799803336
390.072,1210.27895396948
390.410,982.880579541127
390.747,1085.09250286222
391.085,1187.80975704889
391.422,1363.45817825198
391.760,1203.56730270386
392.097,1163.27516208092
392.435,1188.69666218758
392.772,1448.69883024693
393.110,1707.66125100851
393.447,2272.00632564227
393.784,2768.11418322474
394.122,2848.93116704623
394.459,2133.69539534052
394.797,1445.47046381235
395.134,774.035054286321
395.471,503.293229023616
395.809,181.884915615121
396.146,368.884915615122
396.483,727.291060964266
396.821,880.736409544945
397.158,1099.37561438481
397.495,1474.90623903275
397.832,2140.69359294573
398.170,2598.18464877208
398.507,3117.99675228198
398.844,4048.4957575798
399.181,5023.98247722785
399.519,5327.69756337007
399.856,4488.56368935108
400.193,3050.1167169412
400.530,1703.44643692176
400.867,898.617167592049
401.205,450.967122515043
401.542,426.626562356949
401.879,711.958450337251
402.216,683.983021398385
402.553,923.597655236721
402.890,804.324304203192
403.227,1209.63089841604
403.565,1562.06197188298
403.902,1922.6621521016
404.239,2629.06919867794
